A001,56,86,78
A002,75,90,71
A003,88,51,75
A004,68,97,76
A005,72,97,95
A006,91,87,56
A007,61,58,55
A008,51,86,98
A009,78,62,53
A010,90,67,85
A011,71,74,74
A012,84,50,83
A013,74,91,82
A014,88,95,65
A015,66,78,63
A016,65,79,68
A017,56,57,82
A018,72,61,53
A019,69,54,72
A020,69,74,68
A021,80,82,55
A022,70,65,79
A023,72,96,72
A024,74,57,79
A025,62,53,91
A026,89,98,98
A027,59,60,79
A028,55,50,78
A029,98,62,62
A030,74,51,63
A031,72,80,81
A032,72,79,85
A033,86,77,65
A034,97,55,69
A035,68,60,65
A036,92,81,95
A037,79,95,76
A038,68,69,98
A039,94,62,56
A040,50,85,55
A041,51,66,55
A042,70,69,50
A043,94,63,99
A044,85,80,78
A045,96,94,96
A046,96,52,86
A047,59,85,86
A048,57,94,58
A049,97,76,90
A050,88,81,91
A051,68,79,54
A052,66,66,84
A053,99,91,64
A054,94,67,53
A055,97,55,86
A056,89,69,66
A057,53,99,91
A058,67,93,76
A059,95,88,87
A060,93,54,80
A061,90,70,70
A062,70,67,65
A063,51,72,69
A064,55,71,73
A065,76,71,65
A066,75,85,60
A067,73,51,52
A068,54,62,99
A069,99,66,82
A070,61,96,80
A071,60,88,80
A072,77,52,55
A073,89,72,90
A074,89,55,50
A075,91,54,91
A076,67,85,52
A077,61,53,59
A078,80,57,85
A079,51,86,68
A080,53,76,64
A081,98,51,84
A082,61,71,99
A083,97,72,88
A084,93,59,62
A085,56,59,56
A086,90,92,96
A087,52,86,68
A088,91,55,72
A089,98,95,57
A090,93,60,77
A091,97,73,50
A092,76,97,55
A093,77,59,59
A094,91,65,96
A095,71,95,70
A096,88,56,85
A097,88,51,76
A098,75,95,89
A099,97,90,93
A100,54,67,65
A101,58,98,59
A102,58,52,50
A103,72,92,72
A104,81,88,77
A105,79,61,57
A106,73,59,82
A107,52,64,75
A108,63,73,66
A109,75,69,63
A110,78,90,76
A111,89,58,57
A112,53,83,76
A113,75,93,84
A114,64,99,93
A115,69,50,68
A116,74,52,76
A117,55,59,86
A118,62,71,91
A119,68,67,97
A120,87,96,70
A121,62,55,64
A122,64,57,89
A123,96,74,81
A124,88,99,74
A125,51,75,87
A126,99,71,70
A127,75,52,90
A128,70,86,76
A129,96,79,59
A130,94,76,93
A131,93,89,97
A132,78,80,95
A133,93,96,56
A134,72,54,64
A135,81,70,84
A136,66,94,77
A137,65,76,50
A138,81,58,55
